"Number of Registered Live Births by Sex and by Usual Residence of Mother (Region, Province and Highly Urbanized City), Philippines: January - December 2013-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
..DAVAO DEL NORTE,18229,9340,8889,19576,10252,9324,19873,10412,9461,20045,10407,9638,19399,10159,9240,19286,9936,9350,19424,10101,9323,17681,9077,8604,15344,8003,7341,16175,8464,7711
..DAVAO DEL SUR,11284,6004,5280,11193,5871,5322,11624,6275,5349,11638,6044,5594,11238,5919,5319,11169,5834,5335,10812,5736,5076,10213,5307,4906,9508,4962,4546,10118,5345,4773
..DAVAO OCCIDENTAL,2087,1151,936,2290,1193,1097,2401,1216,1185,2796,1476,1320,2818,1504,1314,2237,1162,1075,2533,1317,1216,2068,1118,950,1818,914,904,1973,973,1000
..DAVAO ORIENTAL,7156,3657,3499,7800,4060,3740,8925,4670,4255,9287,4810,4477,8807,4634,4173,8676,4513,4163,8832,4627,4205,8183,4274,3909,7813,4050,3763,8336,4413,3923
..CITY OF DAVAO,30719,16086,14633,32641,17268,15373,33786,17668,16118,33280,17263,16017,32295,16912,15383,32145,16748,15397,31780,16664,15116,28037,14516,13521,23975,12462,11513,26588,14075,12513
REGION XII (SOCCSKSARGEN) 1,78271,40883,37388,73033,38191,34842,74813,39088,35725,75276,39460,35816,74433,39035,35398,73372,38212,35160,75257,39053,36204,69496,36220,33276,66677,34995,31682,70224,36346,33878
..COTABATO 2,30436,15794,14642,24524,12787,11737,25825,13504,12321,25338,13374,11964,25232,13136,12096,24461,12758,11703,24535,12765,11770,22724,11834,10890,22100,11551,10549,23430,12144,11286
..SARANGANI,7259,3776,3483,8335,4304,4031,8197,4250,3947,9050,4688,4362,8978,4754,4224,9166,4812,4354,9150,4758,4392,8335,4335,4000,8147,4334,3813,8963,4651,4312
..SOUTH COTABATO,14498,7681,6817,15064,7867,7197,14544,7669,6875,15050,7962,7088,14758,7684,7074,14865,7742,7123,16187,8373,7814,15536,8134,7402,14747,7671,7076,15067,7831,7236
..SULTAN KUDARAT,11992,6264,5728,11432,5988,5444,11443,5903,5540,11444,5935,5509,11488,6048,5440,11826,6123,5703,12282,6306,5976,11085,5745,5340,11019,5794,5225,12200,6319,5881
..CITY OF GENERAL SANTOS,14086,7368,6718,13678,7245,6433,14804,7762,7042,14394,7501,6893,13977,7413,6564,13054,6777,6277,13103,6851,6252,11816,6172,5644,10664,5645,5019,10564,5401,5163
REGION XIII (Caraga),39254,20472,18782,40335,21007,19328,42304,22040,20264,44135,22941,21194,43444,22669,20775,42848,22255,20593,43567,22544,21023,39174,20472,18702,36108,18874,17234,39986,20865,19121
..AGUSAN DEL NORTE,5539,2871,2668,5646,2962,2684,5922,3052,2870,6066,3143,2923,5656,2913,2743,5622,2931,2691,5520,2823,2697,5075,2671,2404,4840,2529,2311,5365,2782,2583
..AGUSAN DEL SUR,11024,5809,5215,11229,5816,5413,11287,5959,5328,12042,6241,5801,11387,5955,5432,11392,5887,5505,11886,6211,5675,10362,5402,4960,9676,5059,4617,11018,5820,5198
